id,title,budget,release_date,revenue,tagline,rating,director_id
44863,Cirque du Freak: The Vampire's Assistant,40000000,2009-10-23,28169671,Meet Darren. He's sixteen going on immortal.,5.5,4924
44864,Duplex,40000000,2003-09-26,19322135,,5.9,5236
44865,Soul Men,0,2008-11-07,0,,6.3,5338
44866,Raise the Titanic,0,1980-01-01,0,They've found the Titanic. There's just one thing left to do...,5.2,5339
44867,Universal Soldier: The Return,45000000,1999-08-05,10667893,Prepare to become obsolete,4.2,5340
44868,Pandorum,33000000,2009-09-08,20645327,Don't fear the end of the world. Fear what happens next.,6.5,5341
44869,Impostor,40000000,2001-12-03,0,"In the Future, not everyone is who they seem to be.",6.1,5207
44870,Extreme Ops,40000000,2002-11-27,10959475,Fear is a trigger,5.0,5324
44871,Just Visiting,0,2001-04-06,0,"They're not just from another time, they're from France.",4.8,5342
44872,Sunshine,50000000,2007-04-05,32017803,"If the sun dies, so do we.",7.0,5222
44873,A Thousand Words,40000000,2012-03-07,22044277,He only has 1000 words left to discover what matters the most.,6.0,5115
44874,Delgo,40000000,2008-12-12,0,,5.4,5343
44875,The Gunman,40000000,2015-02-16,13644292,Armed With the Truth.,5.5,5188
44876,Stormbreaker,40000000,2006-07-21,23937870,Rule the school. Save the world.,5.1,5344
44877,Disturbia,20000000,2007-04-12,117760134,"The quieter the street, the darker the secrets....",6.6,4999
44878,Hackers,20000000,1995-09-14,7563728,"There is no right or wrong, only fun and boring",6.2,5145
44879,The Hunting Party,0,2007-09-03,0,How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],6.6,5345
44880,The Hudsucker Proxy,30000000,1994-03-11,0,They took him for a fall guy... but he threw them for a hoop.,7.1,5135
44881,投名狀,40000000,2007-12-12,0,,6.3,5346
44882,Nomad,25000000,2005-07-17,0,Courage know no limit,4.3,5347
44883,Snowpiercer,39200000,2013-08-01,86758912,"AD 2031, the passengers in the train are the only survivors on Earth.",6.7,5348
44884,Un monstre à Paris,25000000,2011-10-12,0,,6.5,5349
44885,The Last Shot,0,2004-09-24,0,,5.9,5350
44886,The Crow,15000000,1994-05-11,94000000,Real love is forever.,7.3,4865
44887,Baahubali: The Beginning,40000000,2015-07-10,100000000,,7.5,5351
44888,The Time Traveler's Wife,39000000,2009-08-14,101229792,,6.7,4886
44889,Because I Said So,0,2007-02-02,69485490,"She's just your normal, overprotective, overbearing, over-the-top mother.",5.8,5094
44890,Frankenweenie,39000000,2012-10-04,35287788,The electrifying dog is back from beyond the grave,6.6,4785
44891,Serenity,39000000,2005-08-25,38869464,Can't stop the signal.,7.4,4769
44892,Against the Ropes,39000000,2004-02-20,6614280,,4.5,5352
44893,Superman III,39000000,1983-06-17,75850624,If the world's most powerful computer can control even Superman...no one on earth is safe.,5.3,5180
44894,Grudge Match,40000000,2013-12-25,44907260,DeNiro vs Stallone,6.0,4989
44895,Chi bi,80341000,2008-07-10,127814609,The future will be decided.,7.1,4893
44896,Sweet Home Alabama,30000000,2002-09-26,180622424,Sometimes What You're Looking For Is Right Where You Left It.,6.0,5039
44897,The Ugly Truth,38000000,2009-07-24,205298907,The battle of the sexes is on.,6.4,5035
44898,Sgt. Bilko,0,1996-03-29,0,All he ever wanted was an honest week's pay for an honest day's work.,5.5,5353
44899,Spy Kids 2: The Island of Lost Dreams,38000000,2002-08-07,119723358,Little Spies. Big Attitudes,5.3,5097
44900,Star Trek: Generations,38000000,1994-11-17,120000000,Boldly go.,6.4,5354
44901,一代宗師,3860000,2013-01-08,64076736,"In Martial Arts there is no right or wrong, only the last man standing.",6.3,5355
44902,Water for Elephants,38000000,2011-03-15,114156230,Life is the most spectacular show on earth.,6.7,4831
44903,Dragon Nest: Warriors' Dawn,40000000,2014-05-20,0,,6.8,5356
44904,The Hurricane,50000000,1999-09-17,73956241,His greatest fight was for justice.,7.2,5357
44905,Enough,38000000,2002-05-24,51801187,Everyone has a limit.,6.2,4838
44906,Heartbreakers,35000000,2001-03-23,0,Caution: Dangerous Curves Ahead,5.7,5358
44907,Paul Blart: Mall Cop 2,38000000,2015-04-16,107597242,Vegas has a new high roller.,5.0,5203
44908,Angel Eyes,53000000,2001-05-15,29700000,"The deeper you look, the more you will find.",5.6,5359
44909,Joe Somebody,38000000,2001-12-21,0,Someone just picked on the wrong nobody.,5.5,5128
44910,The Ninth Gate,38000000,1999-08-24,58401898,Every book has a life of its own.,6.3,5096
44911,Extreme Measures,38000000,1996-09-27,17380126,Not all surgery is intended to cure.,5.7,4838
44912,Rock Star,57000000,2001-09-04,16991902,The story of a wanna be who got to be.,6.0,5152
44913,Precious,10000000,2009-11-06,47536959,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.,6.9,5360
44914,White Squall,38000000,1996-02-02,10300000,,6.3,4779
44915,The Thing,15000000,1982-06-25,19629760,Man is The Warmest Place to Hide.,7.8,5227
44916,Riddick,38000000,2013-09-02,98337295,Survival Is His Revenge,6.2,4897
44917,Switchback,37000000,1997-10-31,6482195,The hunter becomes the hunted.,5.8,5361
44918,Texas Rangers,0,2001-11-30,0,,5.4,5362
44919,City of Ember,55000000,2008-10-07,17869048,Escape is the only option,6.2,5036
44920,The Master,32000000,2012-09-07,28258060,Every Man Needs a Guide,7.0,5363
44921,Virgin Territory,38000000,2007-12-17,5410749,Anything Can Happen When You're In ... Virgin Territory,4.3,5364
44922,The Express,40000000,2008-10-10,9793496,He changed our country... one yard at a time.,7.1,5207
44923,The 5th Wave,38000000,2016-01-14,109906372,Protect Your Own,5.6,5365
44924,Creed,37000000,2015-11-25,173567581,Your legacy is more than a name,7.3,5366
44925,The Town,37000000,2010-09-15,154026136,Welcome to the bank robbery capital of America.,7.0,5278
44926,What to Expect When You're Expecting,40000000,2012-05-17,79700000,It's too late to pull out now.,5.8,5367
44927,Burn After Reading,37000000,2008-09-05,163720069,Intelligence is relative.,6.5,5135
44928,Nim's Island,37000000,2008-04-03,100076342,Your adventure starts here.,5.6,5368
44929,Rush,38000000,2013-09-02,90247624,Everyone's driven by something.,7.7,4846
44930,Magnolia,37000000,1999-12-08,48451803,"Things fall down. People look up. And when it rains, it pours.",7.5,5363
44931,Cop Out,30000000,2010-02-26,55583804,Rock out with your Glock out,5.3,5369
44932,How to Be Single,38000000,2016-01-21,112343513,Welcome to the party,5.9,5370
44933,Dolphin Tale,37000000,2011-09-23,95404397,Inspired by the amazing true story of Winter.,6.7,5371
44934,Twilight,37000000,2008-11-20,392616625,"When you can live forever, what do you live for?",5.8,5293
44935,John Q,36000000,2002-02-15,102244770,Give a father no options and you leave him no choice.,7.0,5309
44936,Blue Streak,65000000,1999-09-17,117758500,He's A Cop That's Not.,6.1,5002
44937,We're the Millers,37000000,2013-08-07,269994119,-If anyone asks.,6.8,5194
44938,Obitaemyy Ostrov,36500000,2008-12-18,21834845,,5.3,5372
44939,Breakdown,36000000,1997-05-02,50159144,It could happen to you.,6.6,4826
44940,Never Say Never Again,36000000,1983-10-07,160000000,Sean Connery is James Bond 007,5.8,5373
44941,Hot Tub Time Machine,36000000,2010-03-26,64572262,Kick some past,6.0,5374
44942,Dolphin Tale 2,36000000,2014-09-12,52424533,WINTER's amazing true story... now has HOPE.,6.7,5371
44943,Reindeer Games,42000000,2000-02-25,32168970,The trap is set. The game is on.,5.4,5167
44944,A Man Apart,36000000,2003-04-04,44350926,Love changes a man. Revenge tears him apart.,5.8,5033
44945,Aloha,37000000,2015-05-27,26250020,Sometimes you have to say goodbye before you can say hello.,5.2,5056
44946,Ghosts of Mississippi,0,1996-12-20,0,From the director of A FEW GOOD MEN comes a compelling TRUE STORY.,6.2,5101
44947,Snow Falling on Cedars,0,1999-12-22,0,From the director of 'Shine',6.3,5375
44948,The Rite,37000000,2011-01-28,96047633,You can only defeat it when you believe.,5.8,5071
44949,Gattaca,36000000,1997-09-07,12532777,There is no gene for the human spirit.,7.5,5226
44950,Isn't She Great,36000000,2000-01-28,3003296,Talent Isn't Everything...,4.6,5223
44951,Space Chimps,37000000,2008-07-17,63800345,"Houston, we have a problem!",5.2,5376
44952,Head of State,0,2003-01-01,0,,5.3,5377
44953,The Hangover,35000000,2009-06-05,459270619,Some guys just can't handle Vegas.,7.2,4993
44954,葉問3,36000000,2015-12-19,156844753,,6.5,5378
44955,Austin Powers: The Spy Who Shagged Me,33000000,1999-06-08,310940086,"I'm back, baby!",6.2,4948
44956,Batman,35000000,1989-06-23,411348924,Have you ever danced with the devil in the pale moonlight?,7.0,4785
44957,There Be Dragons,0,2011-03-25,0,,5.9,4819
44958,Lethal Weapon 3,35000000,1992-05-15,321731527,The magic is back again!,6.4,4866
44959,The Blind Side,29000000,2009-11-20,309208309,Based on the extraordinary true story,7.2,4957
44960,Spy Kids,35000000,2001-03-18,147934180,Real spies...only smaller,5.5,5097
44961,Horrible Bosses,35000000,2011-07-08,117000000,Ever wish your boss was dead?,6.5,4997
44962,True Grit,38000000,2010-12-22,252276927,Punishment Comes One Way or Another.,7.2,5135
44963,The Devil Wears Prada,35000000,2006-06-30,326551094,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,7.0,5106
44964,Star Trek: The Motion Picture,35000000,1979-12-06,139000000,The human adventure is just beginning.,6.2,5379
44965,Identity Thief,35000000,2013-02-07,173965010,She's having the time of his life,5.6,4997
44966,Cape Fear,35000000,1991-11-15,182300000,There is nothing in the dark that isn't there in the light. Except fear.,7.0,4809
44967,21,35000000,2008-03-27,69823199,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,6.5,5035
44968,Trainwreck,35000000,2015-07-17,140795793,We All Know One.,5.9,5047
44969,Guess Who,35000000,2005-03-25,68915888,His house. His rules. Some in-laws were made to be broken.,5.5,5380
44970,The English Patient,27000000,1996-11-14,231976425,"In love, there are no boundaries.",7.0,5000
44971,L.A. Confidential,35000000,1997-09-19,126216940,Everything is suspect... Everyone is for sale... And nothing is what it seems.,7.7,5182
44972,Sky High,35000000,2005-07-29,86369815,Saving The World... One Homework Assignment At A Time.,5.8,4821
44973,In & Out,35000000,1997-09-10,0,An out-and-out comedy.,6.3,4947
44974,Species,35000000,1995-07-07,113374103,Our time is up.,5.5,4904
44975,A Nightmare on Elm Street,1800000,1984-11-14,25504513,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",7.2,5307
44976,The Cell,33000000,2000-08-17,104155843,Enter The Mind Of A Killer,6.0,4986
44977,The Man in the Iron Mask,0,1998-03-12,0,For the honor of a king. And the destiny of a country. All for one.,6.3,5057
44978,Secretariat,35000000,2010-08-20,60251371,The Impossible True Story,6.8,5057
44979,TMNT,34000000,2007-03-23,95608995,,6.0,5381
44980,Radio,32000000,2003-10-24,52277485,His courage made them champions.,6.8,5382
44981,Friends with Benefits,35000000,2011-07-21,150483765,Some friends come with a happy ending.,6.5,5090
44982,Neighbors 2: Sorority Rising,35000000,2016-05-04,108758521,New neighbors.,5.6,5310
44983,Saving Mr. Banks,35000000,2013-11-16,112544580,"Where her book ended, their story began.",7.3,4957
44984,Malcolm X,34000000,1992-11-18,48169908,,7.2,5195
44985,This Is 40,35000000,2012-12-20,88058786,The sort-of sequel to 'Knocked Up',5.6,5047
44986,Old Dogs,35000000,2009-11-24,92219310,Life is Not Child-Proof.,5.2,4963
44987,Underworld: Rise of the Lycans,35000000,2009-01-22,91353501,Every war has a beginning.,6.2,5383
44988,License to Wed,35000000,2007-07-04,69307224,First came love... then came Reverend Frank.,5.2,5306
44989,The Benchwarmers,0,2006-04-07,0,Get off the bench and get into the game.,5.2,4964
44990,Must Love Dogs,30000000,2005-07-21,58405313,,5.8,5384
44991,Donnie Brasco,35000000,1997-02-27,41954997,Based on a true story.,7.4,4797
44992,Resident Evil,33000000,2002-03-15,102984862,A secret experiment. A deadly virus. A fatal mistake.,6.4,4974
44993,Poltergeist,10700000,1982-06-04,122200000,They're here.,7.0,5385
44994,The Ladykillers,0,2004-03-25,0,The greatest criminal minds of all time have finally met their match.,6.0,5135
44995,Max Payne,35000000,2008-10-15,85416905,When a Man Has Lost Everything. He Only has Revenge,5.2,4956
44996,In Time,40000000,2011-10-27,173930596,Time Is Power,6.7,5226
44997,The Back-Up Plan,35000000,2010-04-23,77477008,"Fall in love, get married, have a baby. Not necessarily in that order.",5.7,5386
44998,Something Borrowed,35000000,2011-05-05,59901913,It's a thin line between love and friendship.,5.9,5387
44999,Black Knight,0,2001-11-21,0,It's only a flesh wound!,5.1,5388
45000,The Bad News Bears,35000000,1976-04-07,35323292,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.,6.9,5389
45001,Street Fighter,35000000,1994-12-22,99423521,The fight to save the world is on!,4.1,5390
45002,The Pianist,35000000,2002-09-24,120072577,Music was his passion. Survival was his masterpiece.,8.0,5096
45003,The Nativity Story,35000000,2006-12-01,0,Her child would change the world.,6.4,5293
45004,House of Wax,40000000,2005-04-30,68766121,Prey. Slay. Display,5.5,5202
45005,Closer,27000000,2004-12-01,115505027,"If you believe in love at first sight, you never stop looking.",6.7,5031
45006,J. Edgar,35000000,2011-11-09,84606030,The most powerful man in the world.,6.0,5087
45007,Mirrors,35000000,2008-08-15,72436439,There is evil...On the other side.,6.0,5391
45008,Queen of the Damned,35000000,2002-02-10,45479110,This time there are no interviews.,5.4,5392
45009,Predator 2,35000000,1990-11-20,57120318,Silent. Invisible. Invincible. He's in town with a few days to kill.,5.9,5008
45010,Untraceable,35000000,2008-01-22,32483410,A cyber killer has finally found the perfect accomplice: You.,5.9,5063
45011,Blast from the Past,35000000,1999-02-12,40263020,She'd never met anyone like him. He's never met anyone... Period.,6.3,5393
45012,Flash Gordon,35000000,1980-09-01,27107960,He'll save every one of us!,6.1,5394
45013,Jersey Girl,35000000,2004-03-25,36098382,He wanted it all...but he got more than he bargained for.,5.8,5369
45014,Alex Cross,45000000,2012-10-18,30353232,Don't Ever Cross Alex Cross,5.1,4810
45015,Midnight in the Garden of Good and Evil,35000000,1997-11-21,25105255,,6.3,5087
45016,Heist,8900000,2015-11-13,4100000,Never make a bet you can't afford to lose.,5.6,5395
45017,Nanny McPhee and the Big Bang,35000000,2010-03-26,93246388,You'll Believe That Pigs Can Fly!,6.0,5396
45018,Hoffa,35000000,1992-12-25,0,,6.1,5236
45019,The X Files: I Want to Believe,30000000,2008-07-24,68369434,"To find the truth, you must believe.",5.5,5397
45020,Ella Enchanted,31000000,2004-04-09,27388767,Get enchanted,5.9,5398
45021,Concussion,35000000,2015-11-12,50363790,Even Legends Need a Hero,7.0,5399
45022,Abduction,35000000,2011-09-22,82087155,They stole his life. He's taking it back.,5.6,5024
45023,Valiant,35000000,2005-03-25,19478106,"Some pigeons eat crumbs, others make history.",5.2,5400
45024,Wonder Boys,35000000,2000-02-22,0,Undependable. Unpredictable. Unforgettable.,6.9,5182
45025,Superhero Movie,35000000,2008-03-27,25871834,The greatest Superhero movie of all time! (not counting all the others),4.9,5401
45026,Broken City,56000000,2013-01-18,19701164,Proof Can Be a Powerful Weapon.,5.7,5402
45027,Cursed,35000000,2005-02-25,19294901,What doesn't kill you makes you stronger.,5.1,5307
45028,Premium Rush,35000000,2012-08-24,31083599,Ride Like Hell,6.2,5147
45029,Hot Pursuit,35000000,2015-05-08,51680201,Armed and Sort-of Dangerous.,5.4,5303
45030,The Four Feathers,35000000,2002-09-08,29882645,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.",6.5,5173
45031,Parker,35000000,2013-01-23,46216641,"To get away clean, you have to play dirty.",5.7,5093
45032,Wimbledon,31000000,2004-09-13,41512007,She's the golden girl. He's the longshot. It's a match made in...,6.0,5212
45033,Furry Vengeance,35000000,2010-04-02,39340177,He came. He saw. They conquered.,4.6,5284
45034,Bait,30000000,2012-09-05,0,Cleanup on aisle 7.,5.3,5403
45035,Krull,27000000,1983-07-29,16519460,A world light-years beyond your imagination.,5.8,5404
45036,Lions for Lambs,35000000,2007-10-22,63215872,"If you don't STAND for something, you might FALL for anything.",6.0,5111
45037,Flight of the Intruder,35000000,1991-01-18,0,The only thing they can count on is each other.,5.7,4971
45038,Walk Hard: The Dewey Cox Story,35000000,2007-12-21,18317151,Life made him tough. Love made him strong. Music made him hard.,6.6,5320
45039,The Shipping News,0,2001-12-18,0,You'll never guess what you'll find inside...,6.4,5405
45040,American Outlaws,35000000,2001-08-17,13678913,Sometimes the wrong side of the law is the right place to be.,5.7,5002
45041,The Young Victoria,35000000,2009-03-04,27409889,Love rules all.,7.0,5406
45042,Whiteout,40000000,2009-09-09,12206028,See Your Last Breath,5.3,4922
45043,The Tree of Life,32000000,2011-05-18,54674226,Nothing stands still.,6.5,5185
45044,Knock Off,33000000,1998-09-04,0,There is no substitute.,4.7,5407
45045,Sabotage,35000000,2014-03-28,17508518,Leave no loose ends,5.5,4811
45046,The Order,35000000,2003-09-05,11560806,Every soul has its price.,4.8,5196
45047,Punisher: War Zone,20500000,2008-12-05,10089373,Vengeance has a name,5.6,5408
45048,Zoom,35000000,2006-08-11,12506188,They're going to save the world... as long as they're home for dinner.,4.9,5199
45049,The Walk,35000000,2015-09-30,61181942,Dream High.,6.9,4804
45050,Warriors of Virtue,0,1997-05-02,0,In a world beyond your imagination a battle for the universe has begun.,4.7,5409
45051,A Good Year,35000000,2006-09-09,42064105,Everything matures... eventually.,6.5,4779
45052,Radio Flyer,35000000,1992-02-21,4651977,Powered by imagination.,6.6,4866
45053,Bound by Honor,35000000,1993-02-05,0,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,7.7,5093
45054,Smilla's Sense of Snow,35000000,1997-02-13,0,Some Tracks Should Never Be Uncovered.,6.6,5410
45055,Femme Fatale,35000000,2002-11-06,16838910,Nothing is more desirable or more deadly than a woman with a secret.,6.2,4967
45056,Lion of the Desert,35000000,1981-04-17,0,He was a man of honor in a war without any.,7.4,5411
45057,Le Hussard sur le toit,35000000,1995-09-20,15000000,,6.7,5412
45058,Ride with the Devil,38000000,1999-11-24,635096,"In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family.",6.6,4867
45059,Biutiful,0,2010-10-20,25147786,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse.",7.0,4874
45060,Bandidas,35000000,2006-01-18,10496317,Being BAD never looked so GOOD!,5.8,5413
45061,Black Water Transit,0,2009-05-13,0,,0.0,5414
45062,The Maze Runner,34000000,2014-09-10,348319861,Run - Remember - Survive,7.0,5109
45063,Unfinished Business,35000000,2015-03-05,14431253,Best business trip ever.,5.0,5415
45064,The Age of Innocence,34000000,1993-09-17,32255440,In a world of tradition. In an age of innocence. They dared to break the rules.,7.0,4809
45065,The Fountain,35000000,2006-09-06,15304890,Death is the road to awe,6.8,4881
45066,Chill Factor,70000000,1999-09-01,11263966,"This Fall, Action is served on the rocks, with a twist.",5.3,5416
45067,Stolen,35000000,2012-05-17,2106557,Never steal from the world's greatest thief.,5.1,4930
45068,崖の上のポニョ,41677699,2008-07-19,187479518,Welcome To A World Where Anything Is Possible.,7.5,5417
45069,The Longest Ride,34000000,2015-04-09,63013281,Two couples. Two love stories. One epic tale.,7.3,5418
45070,The Astronaut's Wife,75000000,1999-08-26,19598588,How well do you know the one you love?,5.4,5419
45071,I Dreamed of Africa,34000000,2000-05-05,0,Sometimes the adventure of a lifetime becomes life itself.,5.3,5420
45072,Playing for Keeps,35000000,2012-11-29,0,,5.4,5163
45073,Mandela: Long Walk to Freedom,35000000,2013-12-06,27330000,It is an ideal for which I am prepared to die.,6.5,5325
45074,Reds,32000000,1981-12-25,40382659,Not since Gone With The Wind has there been a great romantic epic like it!,7.1,5244
45075,A Few Good Men,40000000,1992-12-11,243240178,,7.1,5101
45076,Exit Wounds,50000000,2001-03-13,79958599,This Is Gonna Hurt,5.3,5061
45077,Big Momma's House,30000000,2000-05-31,173959438,This FBI agent is going undercover... and he's concealing more than a weapon.,5.6,4913
45078,The House of Magic,34000000,2013-12-24,0,One lost little cat. One magical adventure.,6.3,5421
45079,The Darkest Hour,30000000,2011-12-22,64626786,Survive The Holidays,4.8,5422
45080,Step Up Revolution,33000000,2012-07-26,140470746,One Step Can Change Your World,6.7,5423
45081,Snakes on a Plane,33000000,2006-08-06,62022014,"At 30,000 feet, snakes aren't the deadliest thing on this plane.",5.1,5262
45082,The Watcher,33000000,2000-09-08,0,Don't go home alone.,4.9,5424
45083,The Punisher,33000000,2004-04-15,54700105,"There is no justice, there is only revenge.",6.1,5425
45084,Goal!: The Dream Begins,30000000,2005-06-06,27610873,Every Dream Has A Beginning,6.6,5426
45085,Safe,30000000,2012-04-16,40346186,She has the code. He is the key.,6.3,5427
45086,Pushing Tin,33000000,1999-04-23,0,A comedy about losing control,5.7,4797
45087,Return of the Jedi,32350000,1983-05-23,572700000,The Empire Falls...,7.9,5428
45088,Doomsday,30000000,2008-03-14,22211426,Mankind has an expiration date.,5.8,5429
45089,The Reader,32000000,2008-12-10,113019290,Behind the mystery lies a truth that will make you question everything you know.,7.2,5323
45090,Wanderlust,35000000,2012-02-23,24159934,Leave your baggage behind,5.3,5430
45091,Elf,32000000,2003-10-09,173398518,"This holiday, discover your inner elf.",6.4,4808
45092,Phenomenon,32000000,1996-07-05,152036382,Some things in life just can't be explained.,6.2,4832
45093,Snow Dogs,33000000,2002-01-18,0,Get ready for mush hour!,5.3,5116
45094,Scrooged,0,1988-11-22,60328000,The spirits will move you in odd and hysterical ways.,6.7,4866
45095,Nacho Libre,32000000,2006-06-16,80197993,He's not lean. He's not mean. He's nacho average hero.,5.6,5431
45096,Bridesmaids,32500000,2011-04-28,288383523,Save the date,6.5,4860
45097,This Is the End,32000000,2013-06-12,126041322,Nothing ruins a party like the end of the world.,6.3,5297
45098,Stigmata,29000000,1999-09-10,50041732,The messenger must be silenced.,6.0,5432
45099,Men of Honor,32000000,2000-09-13,48814909,History is made by those who break the rules.,7.0,5418
45100,Takers,32000000,2010-08-26,69055695,Who's Taking Who?,6.0,5433
45101,The Big Wedding,35000000,2013-04-25,21819348,It's never too late to start acting like a family,5.7,5434
45102,"Big Mommas: Like Father, Like Son",32000000,2011-02-16,83615414,Momma's got back-up.,5.3,5191
45103,Source Code,32000000,2011-03-30,147332697,Make Every Second Count,7.1,4836
45104,Alive,32000000,1993-01-15,36733909,They survived the impossible...by doing the unthinkable.,6.7,5197
45105,The Number 23,30000000,2007-02-23,77566815,First it takes hold of your mind...then it takes hold of your life.,6.3,4892
45106,The Young and Prodigious T.S. Spivet,33000000,2013-10-16,9494789,,6.7,5125
45107,1941,35000000,1979-12-13,31755742,Paranoia meets pandemonium.,5.6,4799
45108,Dreamer: Inspired By a True Story,0,2005-09-10,0,,6.3,5435
45109,A History of Violence,32000000,2005-09-23,60740827,Tom Stall had the perfect life... until he became a hero.,6.9,5229
45110,Transporter 2,32000000,2005-08-02,85167639,The Best In The Business Is Back In The Game.,6.2,4873
45111,The Quick and the Dead,32000000,1995-02-09,18552460,Think you are quick enough?,6.3,4767
45112,Laws of Attraction,28000000,2004-04-04,30016165,Love always has the last word.,5.6,5263
45113,Bringing Out the Dead,32000000,1999-10-22,0,,6.6,4809
45114,Repo Men,32000000,2010-03-18,18409891,"For a price, any organ in your body can be replaced. But it can also be repossessed.",6.2,5436
45115,디워,70000000,2007-02-08,53587404,They've made our world their battleground,4.0,5437
45116,Bogus,32000000,1996-09-06,0,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid.",5.4,5357
45117,The Incredible Burt Wonderstone,30000000,2013-03-14,27437881,Abracatastic!,5.3,5438
45118,Cats Don't Dance,32000000,1997-03-26,3566637,It's a Jungle Out There!,7.1,4929
45119,Cradle Will Rock,0,1999-12-10,0,,7.2,5439
45120,The Good German,32000000,2006-12-08,5914908,"If war is Hell, then what comes after?",5.9,4909
45121,George and the Dragon,32000000,2004-03-28,0,,5.0,5440
45122,Apocalypse Now,31500000,1979-08-15,89460381,This is the end...,8.0,5179
45123,Going the Distance,32000000,2010-09-01,42045846,A comedy about meeting each other halfway.,6.0,5441
45124,Mr. Holland's Opus,0,1995-12-29,106269971,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",6.9,5152
45125,Criminal,31500000,2016-04-14,14708696,,5.7,5442
45126,Out of Africa,31000000,1985-12-20,128499205,Based on a true story.,7.0,4965
45127,Flight,31000000,2012-11-02,161772375,,6.5,4804
45128,Moonraker,34000000,1979-06-26,210308099,Outer space now belongs to 007.,5.9,5443
45129,The Grand Budapest Hotel,30000000,2014-02-26,174600318,A perfect holiday without leaving home.,8.0,5228
45130,Hearts in Atlantis,31000000,2001-09-07,24185781,What if one of life's great mysteries moved in upstairs?,6.4,5375
45131,Arachnophobia,31000000,1990-08-09,53208180,"Eight legs, two fangs, and an attitude.",6.2,5197
45132,Frequency,31000000,2000-04-28,68106245,The future is listening.,7.0,5063
45133,Vacation,31000000,2015-07-28,104384188,What could go wrong?,6.2,5444
45134,Get Shorty,30250000,1995-10-20,115101622,"The mob is tough, but it’s nothing like show business.",6.4,4776
45135,Chicago,45000000,2002-12-26,306776732,"If You Can't Be Famous, Be Infamous",6.9,4775
45136,Big Daddy,34200000,1999-06-25,234801895,Nature called. Look who answered.,6.1,4964
45137,American Pie 2,30000000,2001-08-10,287553595,This Summer It's All About Sticking Together.,6.0,5445
45138,Toy Story,30000000,1995-10-30,373554033,,7.7,4790
45139,Speed,30000000,1994-06-09,350448145,Get ready for rush hour,6.8,4915
45140,The Vow,30000000,2012-02-05,196114570,,7.0,5446
45141,Extraordinary Measures,31000000,2010-01-21,15134293,Don't hope for a miracle. Make one.,6.0,5447
45142,Remember the Titans,30000000,2000-09-29,136706683,History is written by the winners.,7.4,5427
45143,The Hunt for Red October,30000000,1990-03-02,199200000,Invisible. Silent. Stolen.,7.2,4890
45144,The Butler,25000000,2013-08-16,115922175,One quiet voice can ignite a revolution.,7.2,5360
45145,DodgeBall: A True Underdog Story,20000000,2004-06-18,167722310,Grab Life By The Ball,6.2,5194
45146,The Addams Family,30000000,1991-11-22,191502426,Weird Is Relative,6.7,4776
45147,Ace Ventura: When Nature Calls,30000000,1995-11-10,212385533,New animals. New adventures. Same hair.,6.1,5190
45148,The Princess Diaries,37000000,2001-08-03,165335153,She rocks. She rules. She reigns.,6.5,5053
45149,The First Wives Club,26000000,1996-09-20,116400000,Don't get mad. Get everything.,6.5,5393
45150,Se7en,33000000,1995-09-22,327311859,Seven deadly sins. Seven ways to die.,8.1,4829
45151,District 9,30000000,2009-08-05,210819611,You are not welcome here.,7.3,4896
45152,The SpongeBob SquarePants Movie,30000000,2004-11-14,140161792,Bigger. Better. More absorbent.,6.7,5448
45153,Mystic River,25000000,2003-10-07,156822020,"We bury our sins, we wash them clean.",7.6,5087
45154,Million Dollar Baby,30000000,2004-12-15,216763646,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",7.7,5087
45155,Analyze This,80000000,1999-03-05,176885658,New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.,6.4,5130
45156,The Notebook,29000000,2004-06-25,115603229,Behind every great love is a great story.,7.7,5309
45157,27 Dresses,30000000,2008-01-10,160259319,She's about to find the perfect fit.,6.1,5303
45158,Hannah Montana: The Movie,35000000,2009-04-10,155545279,She has the best of both worlds...now she has to choose just one.,6.0,4921
45159,Rugrats in Paris: The Movie,30,2000-09-14,103,Ooo la la! Paris will never be the same!,6.0,5449
45160,The Prince of Tides,30000000,1991-12-25,74787599,"A story about the memories that haunt us, and the truth that sets us free.",5.9,5290
45161,Legends of the Fall,30000000,1994-12-16,160638883,After the Fall from Innocence the Legend begins.,7.2,4863
45162,Up in the Air,25000000,2009-09-05,163670000,The story of a man ready to make a connection.,6.7,5450
